"date","sales","sum(DOLLARS)","average(feature   = A)","average(feature   = A+)","average(feature   = B)","average(feature   = C)","average(disp = 0)","average(disp = 1)","average(disp = 2)","average(disc = 0)"
5/21/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/28/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/4/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/11/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/18/95 12:00 AM,1.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/25/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/2/95 12:00 AM,5.0,3.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/9/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/16/95 12:00 AM,4.0,3.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/23/95 12:00 AM,5.0,3.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/30/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/6/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/13/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/20/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/27/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/3/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/10/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/17/95 12:00 AM,6.0,4.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/24/95 12:00 AM,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/1/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/8/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/15/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/22/95 12:00 AM,7.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/29/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/5/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/12/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/19/95 12:00 AM,1.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/26/95 12:00 AM,6.0,4.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/3/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
